Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NTGR,"NETGEAR, Inc.",27.42,863502386.58,n/a,2003,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ntgr
SLRC,Solar Capital Ltd.,20.41,862543458.66,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/slrc
FARO,"FARO Technologies, Inc.",49.7,860748087.5,n/a,1997,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/faro
PRNB,Principia Biopharma Inc.,36.05,860393850.05,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prnb
RCKT,"Rocket Pharmaceuticals, Inc.",17.07,858440689.59,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rckt
CARB,"Carbonite, Inc.",24.88,857039394.48,n/a,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb
AMTB,Amerant Bancorp Inc.,19.7,851130462.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb
RTRX,"Retrophin, Inc.",20.5,849509299,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rtrx
BLDP,"Ballard Power Systems, Inc.",3.64,845682277.44,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bldp
PEY,Invesco High Yield Equity Dividend Achievers ETF,18.21,844944000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pey
IIIV,"i3 Verticals, Inc.",26.84,844883476.8,n/a,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/iiiv
BABY,Natus Medical Incorporated,24.83,844363517.4,n/a,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/baby
TCPC,BlackRock TCP Capital Corp.,14.36,843876888,n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/tcpc
AXSM,"Axsome Therapeutics, Inc.",25.31,842957396.1,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axsm
ESGD,iShares ESG MSCI EAFE ETF,64.23,841413000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esgd
LION,Fidelity Southern Corporation,30.38,840232146.18,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/lion
FIXX,"Homology Medicines, Inc.",19.22,838260234.32,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fixx
